mpg,displacement,horsepower,weight
43.4,90,48,2335
36.4,121,67,2950
30,146,67,3250
44.6,91,67,1850
33.8,97,67,2145
29.8,89,62,1845
32.7,168,132,2910
23.7,70,100,2420
35,122,88,2500
32.4,107,72,2290
27.2,135,84,2490
26.6,151,84,2635
25.8,156,92,2620
23.5,173,110,2725
30,135,84,2385
39.1,79,58,1755
39,86,64,1875
35.1,81,60,1760
32.3,97,67,2065
37,85,65,1975
37.7,89,62,2050
34.1,91,68,1985
34.7,105,63,2215
34.4,98,65,2045
29.9,98,65,2380
33,105,74,2190
33.7,107,75,2210
32.4,108,75,2350
32.9,119,100,2615
31.6,120,74,2635
28.1,141,80,3230
30.7,145,76,3160
25.4,168,116,2900
24.2,146,120,2930
22.4,231,110,3415
26.6,350,105,3725
20.2,200,88,3060
17.6,225,85,3465
28,112,88,2605
27,112,88,2640
34,112,88,2395
31,112,85,2575
29,135,84,2525
27,151,90,2735
24,140,92,2865
36,105,74,1980
37,91,68,2025
31,91,68,1970
38,105,63,2125
36,98,70,2125
36,120,88,2160
36,107,75,2205
34,108,70,2245
38,91,67,1965
32,91,67,1965
38,91,67,1995
25,181,110,2945
38,262,85,3015
26,156,92,2585
22,232,112,2835
32,144,96,2665
36,135,84,2370
27,151,90,2950
27,140,86,2790
44,97,52,2130
32,135,84,2295
28,120,79,2625
31,119,82,2720
